ID,Title,"EFI Areas","Areas of Expertise","UoE Schools",Sectors
445,"Alessandro Rosiello","EFI Executive|Engagement &amp; Innovation",,,
447,"Alex Hutchison","EFI Executive|Engagement &amp; Innovation>Innovation Services",,,
449,"Caroline Parkinson","Centres, Hubs, Projects &amp; Networks>Creative Informatics|Research Clusters>Creativity, AI and the Human|Engagement &amp; Innovation","AI in creative domains","Edinburgh Futures Institute","Creative Industries"
478,"Chris Speed","Centres, Hubs, Projects &amp; Networks>Data + Design Lab|EFI Management Group|Engagement &amp; Innovation",,,
481,"Douglas Graham","EFI Executive|Engagement &amp; Innovation",,,"Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
487,"Gbenga Ibikunle","Centres, Hubs, Projects &amp; Networks>Edinburgh Centre for Financial Innovations",,,"Financial Services &amp; FinTech"
494,"Jude Henderson","EFI Executive",,,
497,"Kate Orton-Johnson","Education|EFI Management Group",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
500,"Kristy Docherty","Engagement &amp; Innovation|Centres, Hubs, Projects &amp; Networks>Prevention Hub|Centres, Hubs, Projects &amp; Networks>Public Services Innovation Lab",,,"Public Services"
507,"Lynne Craig","Research Clusters>Creativity, AI and the Human|EFI Executive|Engagement &amp; Innovation","AI in creative domains|Human-centred and social dimensions of AI","College of Arts, Humanities &amp; Social Sciences>Edinburgh College of Art",
510,"Lisa Otty","Engagement &amp; Innovation>Innovation Services>Data-led Methods and Research Technology|Research Clusters>Digital Cultural Heritage",,,
513,"Liz McFall","Centres, Hubs, Projects &amp; Networks>Data Civics",,,
516,"Patricia Erskine","Culture &amp; Community|Research Clusters>Digital Cultural Heritage",,"Edinburgh Futures Institute",
519,"Sean Smith","Centres, Hubs, Projects &amp; Networks>Centre for Future Infrastructure",,,
522,"Shannon Vallor","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,,
525,"Sian Bayne","Centres, Hubs, Projects &amp; Networks>Centre for Research in Digital Education",,,
528,"Theodor Cojoianu","EFI Management Group|Research",,,
23466,"Abby Gleave",Education,,,
23479,"Anna Duncan",Education,,,
23490,"David Murphy",Education,,,
23499,"Emma Craigen",Education,,,
23505,"Emma McAllister",Education,,,
23527,"Esther Mijers","Education|EFI Executive",,,
23531,"Jen Watson",Education,,,
23536,"Katie Murray","Education|Engagement &amp; Innovation",,,
23548,"Rachel McKay",Education,,,
23552,"Sabine Rolle",Education,,,
23557,"Sarah Harvey","Education|EFI Executive",,,
23566,"Amy Macpherson","Centres, Hubs, Projects &amp; Networks>Centre for Future Infrastructure",,,
23570,"Anna Votsi",Research,,,
23575,"Joe Noteboom","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures|Research Clusters>Critical Data Studies|Education",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
23578,"Valentina Guerrieri","EFI Executive|Research",,,
23596,"Autumn Roesch-Marsh","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,,
23599,"Emma Davidson","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,,
23602,"Marisa de Andrade","Centres, Hubs, Projects &amp; Networks>The Binks Hub",,,
23612,"Likando Kumoyo","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Engagement &amp; Innovation>Innovation Services>Data-led Methods and Research Technology",,,
23615,"Lucia Michielin","Centres, Hubs, Projects &amp; Networks>Centre for Data, Culture &amp; Society|Engagement &amp; Innovation>Innovation Services>Data-led Methods and Research Technology",,,
23625,"John Vines","Centres, Hubs, Projects &amp; Networks>Centre for Investing Innovation|Research Clusters>Children, Interaction and Design|Research Clusters>Media and Communications","Digital Design|Social Media","College of Science &amp; Engineering>School of Informatics",
23631,"Sotirios Sabanis","Centres, Hubs, Projects &amp; Networks>Centre for Investing Innovation",,,
23637,"Christie Hewitt","Operations and Facilities",,,
23640,"Gina Helfrich","Centres, Hubs, Projects &amp; Networks>Centre for Technomoral Futures",,,
23643,"Fraser Macdonald","Engagement &amp; Innovation>Innovation Services>Collaborative Impact|Centres, Hubs, Projects &amp; Networks>Data for Children Collaborative",,,
23646,"Iwona Soppa","Engagement &amp; Innovation>Innovation Services>Collaborative Impact|Centres, Hubs, Projects &amp; Networks>Data for Children Collaborative",,,
23649,"Kam Chan","Engagement &amp; Innovation>Innovation Services>Futures and Design",,,
23652,"Pushpi Bagchi","Engagement &amp; Innovation>Innovation Services>Futures and Design",,,
23656,"Steve Earl","Engagement &amp; Innovation>Innovation Services>Futures and Design",,,
23660,"Laura Cram","Centres, Hubs, Projects &amp; Networks>Digital Influence &amp; Intelligence Lab",,"College of Arts, Humanities &amp; Social Sciences>School of Social and Political Science",
23663,"Drew Hemment","Centres, Hubs, Projects &amp; Networks>The New Real",,,"Tourism &amp; Festivals"
23672,"Matjaz Vidmar","Centres, Hubs, Projects &amp; Networks>The New Real",,,
23678,"Joshua Ryan-Saha","Engagement &amp; Innovation|Centres, Hubs, Projects &amp; Networks>Traveltech Innovation Hub",,,"Tourism &amp; Festivals"
23684,"Maddy Burgoyne","Research Clusters>Creativity, AI and the Human|Engagement &amp; Innovation",,"Edinburgh Futures Institute","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
23687,"Owen Kelly","Engagement &amp; Innovation>International",,,
23697,"Vlada Kravtsova","Education|Engagement &amp; Innovation",,,
23703,"Jennifer Williams","Culture &amp; Community",,,
23706,"Fraser Pringle","Communications, Marketing &amp; Events",,,
23709,"Ioannis Kalkounos","Communications, Marketing &amp; Events",,,
23712,"Katrina Macapagal","Communications, Marketing &amp; Events",,,
23715,"Laura Dougan","Communications, Marketing &amp; Events",,,
