ID,Title,"Ecosystem types",Sectors
21886,"Centre for Technomoral Futures","Centres, projects, hubs and networks>Research centres","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
21887,"Centre for Future Infrastructure","Centres, projects, hubs and networks>Research centres","Public Services"
21888,"Creative Informatics","Centres, projects, hubs and networks","Creative Industries"
21889,"Data + Design Lab","Centres, projects, hubs and networks|Innovation hubs and services","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
21890,"Digital Influence and Intelligence Lab","Centres, projects, hubs and networks","Public Services"
21891,"Data for Children Collaborative","Centres, projects, hubs and networks|Innovation hubs and services","Public Services"
21892,"Centre for Data, Culture & Society","Centres, projects, hubs and networks|Innovation hubs and services","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
21893,"The Binks Hub","Centres, projects, hubs and networks>Research centres","Creative Industries"
21894,"The New Real","Centres, projects, hubs and networks>Research centres","Creative Industries|Tourism &amp; Festivals"
21895,"Traveltech Innovation Hub","Centres, projects, hubs and networks","Tourism &amp; Festivals"
21896,"School of Informatics","University of Edinburgh",
21907,"Business School","University of Edinburgh",
23111,"Public Services Innovation Lab","Centres, projects, hubs and networks","Public Services"
23113,"Scottish Prevention Hub","Centres, projects, hubs and networks","Public Services"
23172,"Centre for Investing Innovation","Centres, projects, hubs and networks>Research centres","Financial Services &amp; FinTech"
23249,"FinTech & Financial Services","Centres, projects, hubs and networks>Clusters","Financial Services &amp; FinTech"
23319,"Data Civics Observatory","Centres, projects, hubs and networks>Research centres","Public Services"
23855,"CreativeTech Scotland Gathering","Centres, projects, hubs and networks","Creative Industries"
24534,"Pioneering Analytics for Transformative Higher EdUCATION (PATH)","Centres, projects, hubs and networks>Clusters",
24541,"Digital Cultural Heritage","Centres, projects, hubs and networks>Clusters",
24542,"Digital Economy and Society","Centres, projects, hubs and networks>Clusters",
24543,"Critical Data <br>Studies","Centres, projects, hubs and networks>Clusters",
24545,"Game Worlds","Centres, projects, hubs and networks>Clusters",
24546,"Media & <br>Commun­ications","Centres, projects, hubs and networks>Clusters",
24548,"Tourism, Technology & Data","Centres, projects, hubs and networks>Clusters","Tourism &amp; Festivals"
24867,"Smart Data Foundry","Partners and Members","Financial Services &amp; FinTech"
24994,"School of Divinity","University of Edinburgh",
24995,"School of Economics","University of Edinburgh",
24998,"Edinburgh College of Art","University of Edinburgh",
24999,"Moray House School of Education and Sport","University of Edinburgh",
25000,"School of Health in Social Science","University of Edinburgh",
25001,"School of History, Classics and Archaeology","University of Edinburgh",
25003,"School of Law","University of Edinburgh",
25006,"School of Literatures, Languages and Cultures","University of Edinburgh",
25007,"School of Philosophy, Psychology and Language Sciences","University of Edinburgh",
25008,"School of Social and Political Science","University of Edinburgh",
25009,"Centre for Open Learning","University of Edinburgh",
25010,"Edinburgh Medical School","University of Edinburgh",
25011,"Royal (Dick) School of Veterinary Studies","University of Edinburgh",
25012,"School of Biological Sciences","University of Edinburgh",
25013,"School of Chemistry","University of Edinburgh",
25014,"School of Engineering","University of Edinburgh",
25015,"School of GeoSciences","University of Edinburgh",
25016,"School of Mathematics","University of Edinburgh",
25017,"School of Physics and Astronomy","University of Edinburgh",
26027,"Centre for Research in Digital Education","Centres, projects, hubs and networks>Research centres",
29261,"Edinburgh Earth Initiative","Centres, projects, hubs and networks",
29300,"Edinburgh Innovations","Innovation hubs and services","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals"
29302,"Data-Driven Innovation","Innovation hubs and services",
29419,"Bayes Centre","Innovation hubs and services",
29420,"National Robotarium","Innovation hubs and services",
29423,"Usher Institute","Innovation hubs and services",
29425,"Easter Bush","Innovation hubs and services",
29427,"Edinburgh International Data Facility","Innovation hubs and services",
30707,"Childlight - Global Safety Institute","Centres, projects, hubs and networks","Public Services"
34009,"Edinburgh Centre for Financial Innovations","Centres, projects, hubs and networks>Research centres","Financial Services &amp; FinTech"
38821,"Mathematics for Humanity","Centres, projects, hubs and networks",
43431,BRAID,"Centres, projects, hubs and networks>Research centres","Data &amp; AI ethics"
48532,"Creativity, AI, and the Human","Centres, projects, hubs and networks>Clusters",
50352,"Centre for Doctoral Training (CDT) in Responsible and Trustworthy in-the-world NLP","Centres, projects, hubs and networks>Research centres",
50355,"Scottish Centre for Administrative Data Research (SCADR)","Partners and Members|Centres, projects, hubs and networks>Research centres",Multi-sector
50358,"RAD Lab","Centres, projects, hubs and networks>Research centres",
50361,"Neuropolitics Research Lab","Centres, projects, hubs and networks>Research centres",
52211,"Centre for Biomedicine, Self and Society","Centres, projects, hubs and networks>Research centres",
52854,"Compassion in Financial Services Hub","Centres, projects, hubs and networks","Financial Services &amp; FinTech"
53403,"CATALYST (PCI Geomatics)","Partners and Members","Financial Services &amp; FinTech"
53405,"Screen Language Ltd","Partners and Members","Creative Industries"
53407,"Market Mind Foundation","Partners and Members","Financial Services &amp; FinTech"
53409,"Braid Financial Planning","Partners and Members","Financial Services &amp; FinTech"
53411,"Scottish Policy &amp; Research Exchange","Partners and Members","Public Services"
53414,VoucherCart,"Partners and Members","Tourism &amp; Festivals"
53416,"Stage Analytics","Partners and Members","Creative Industries"
53418,"Zya Community","Partners and Members","Creative Industries"
53426,"Scottish Centre for Administrative Data Research (SCADR)","Partners and Members","Data &amp; AI ethics|Education|Public Services"
53428,CodeBase,"Partners and Members",Multi-sector
53435,Nesta,"Partners and Members","Public Services"
53437,"Activity Stream","Partners and Members","Creative Industries"
53439,"Bright Side Studios","Partners and Members","Creative Industries"
53441,"FinTech Scotland","Partners and Members","Financial Services &amp; FinTech"
53445,"Take Note","Partners and Members","Creative Industries"
53463,"Innovation Unit","Partners and Members","Public Services"
53468,Synechron,"Partners and Members","Financial Services &amp; FinTech"
53691,"Evelyn Partners","Partners and Members","Financial Services &amp; FinTech"
55691,"Children, Interaction, and Design (CID)","Centres, projects, hubs and networks>Clusters",
56703,"Thrive at Five","Partners and Members","Public Services"
56717,"Nagoya University Global Campus at the University of Edinburgh","Partners and Members","Creative Industries"
56718,"Building Atlas","Partners and Members","Financial Services &amp; FinTech"
56720,"ValuePoint Payments","Partners and Members","Financial Services &amp; FinTech"
