ID,Title,"Programme types",Sectors,"UoE Schools"
22041,"Circular Economy",Postgraduate>Futures,"Financial Services &amp; FinTech",
22049,"Creative Industries",Postgraduate>Futures,"Creative Industries",
22052,"Data and Artificial Intelligence Ethics",Postgraduate>Futures,"Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals",
22054,"Data, Inequality and Society",Postgraduate>Futures,"Public Services",
22056,"Education Futures",Postgraduate>Futures,,
22058,"Future Governance",Postgraduate>Futures,"Public Services",
22060,"Narrative Futures: Art, Data and Society",Postgraduate>Futures,"Creative Industries|Public Services",
22062,"Planetary Health",Postgraduate>Futures,"Financial Services &amp; FinTech|Public Services",
22064,"Service Management and Design",Postgraduate>Futures,"Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals",
22066,"Sustainable Lands and Cities",Postgraduate>Futures,"Public Services",
24820,"Developing a Data Driven Creative Company","Executive Education","Creative Industries",
24853,"Climate Change Risk In Finance","Executive Education","Financial Services &amp; FinTech",
24855,"MSc in Finance, Technology and Policy",Postgraduate>Other,"Financial Services &amp; FinTech",
24856,"PhD in Financial Technology",Postgraduate>Doctoral,"Financial Services &amp; FinTech",
25816,"Data Ethics, AI and Responsible Innovation",,,
29090,"Getting Started with Travel Technology","Executive Education|MOOC","Tourism &amp; Festivals",
33092,"Future is FinTech","Executive Education","Financial Services &amp; FinTech",
37023,"Future of Marketing","Executive Education",,
44512,"Child Protection Data Futures",Postgraduate>Futures,"Public Services",
44513,"Cultural Heritage Futures",Postgraduate>Futures,"Creative Industries",
44514,"Future Infrastructure, Climate Change &amp; Sustainability",Postgraduate>Futures,"Climate &amp; Sustainability",
47597,"Data Ethics, AI and Responsible Innovation","Executive Education|MOOC","Data &amp; AI ethics",
48166,"AI for Senior Managers in Financial Services","Executive Education","Data &amp; AI ethics|Financial Services &amp; FinTech",
49978,"AI for Senior Managers in Financial Services","Executive Education","Financial Services &amp; FinTech",
54854,"AI and Generative AI for Leaders: Empowering Digital Transformation and Strategic Decision Making","Executive Education",,
55660,"Rising Stars Development Programme","Executive Education","Creative Industries|Financial Services &amp; FinTech|Public Services|Tourism &amp; Festivals",
56379,"Compassionate Leadership Certification Training","Executive Education","Financial Services &amp; FinTech",
56561,"Applied Agentic AI","Executive Education","Data &amp; AI ethics",
